"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P03951_Oligomannose",NA,"28.14501",NA,NA,"28.51645",NA,NA,NA,"26.97675",NA
"P04278_Complex","100","100","100","100","100","100","100","100","100","100"
"P01011_Complex","91.48244","100","100","100","100",NA,"100",NA,"100","100"
"P01011_Hybrid","8.517562",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q68D85_Complex","100","100","100","100","100",NA,"100",NA,"100","100"
"P02751_Complex","99.28953","99.29776","99.1698","100","100","96.67425","97.62416","100","99.21702","98.81428"
"P02751_Hybrid","0.7104716","0.7022373","0.8302046",NA,NA,"3.325755","2.375841",NA,"0.782981","1.185721"
"P22792_Complex","100",NA,"100","100","100","100","100","100",NA,"100"
"P03952_Complex","100","100","100","100","100","100","100","100","100","100"
"P00738_Complex","100","100","99.8568","100","100","99.29943","99.77757","100","100","100"
"P00738_Hybrid",NA,NA,"0.1432043",NA,NA,"0.7005686","0.2224255",NA,NA,NA
"P49908_Complex","100","100","100","100","100","100","100","100","100","100"
"P17936_Complex","100","100","100","100","100","100","100","100","100","100"
"P01591_Complex","100","100","100","100","100","100","100","100","100","100"
"P05090_Complex","100","100","100","100","100","98.47935","100","100","100","100"
"P05090_Hybrid",NA,NA,NA,NA,NA,"1.520646",NA,NA,NA,NA
"Q6EMK4_Complex","100","100","100","100","100","100","100",NA,NA,"100"
"P0C0L4; P0C0L5_Oligomannose","51.0632","40.64549","41.78307","37.32562","41.75477","36.55848","43.81895","30.30819","46.60394","39.09754"
"P0C0L4; P0C0L5_Complex","48.55432","59.35451","57.51066","62.67438","57.56303","63.44152","56.18105","69.39523","53.39606","60.48128"
"P0C0L4; P0C0L5_Hybrid","0.3824805",NA,"0.706268",NA,"0.682202",NA,NA,"0.2965838",NA,"0.4211777"
"P00450_Complex","99.77957","100","99.85999","99.73075","100","99.85076","99.94125","99.86047","100","99.83928"
"P00450_Hybrid","0.2204292",NA,"0.1134584","0.2692501",NA,"0.0766195","0.05874627","0.1395281",NA,"0.1607195"
"P00450_Oligomannose",NA,NA,"0.02655454",NA,NA,"0.07261869",NA,NA,NA,NA
"P06681_Oligomannose","83.13486","44.38273","81.11455","52.05302","57.59129","69.00644","82.14083","93.23234","57.70689","83.66561"
"P06681_Complex","9.860057","46.64223","14.96993","43.30962","31.90943","24.66666","9.689395","2.642046","42.29311","16.33439"
"P06681_Hybrid","7.005085","8.975037","3.915515","4.637363","10.49928","6.326904","8.169771","4.125609",NA,NA
"P23142_Complex","100","100","100","100","100","100","100","100","100","100"
"P01042_Complex","100","100","100","100","100","100","100","100","100","100"
"Q15762_Complex","100",NA,NA,"100",NA,NA,NA,NA,NA,NA
"Q02985_Complex","100","100","100","100","100","100","100",NA,"100","100"
"Q04756_Complex","100",NA,NA,NA,"100",NA,"100","100",NA,NA
"P13671_Complex","100","100","100","100","100","100","100","100","100","100"
"P04004_Complex","100","100","100","100","100","100","100","100","76.8592","100"
"P04004_Hybrid",NA,NA,NA,NA,NA,NA,NA,NA,"23.1408",NA
"P05160_Complex","60.38626","100","100","100","100","100","96.75141","93.37691","31.14629","81.19166"
"P05160_Oligomannose","39.61374",NA,NA,NA,NA,NA,"3.248587","6.623093","68.85371","18.80834"
"P43251_Complex","100","100","100","100","100","100","100","100","100","100"
"P07358_Complex","100","100","100","100","100","100","100","100","100","100"
"P51884_Complex","100","100","100","100","100","100","100","100","100","100"
"P0DOX6_Hybrid","6.670668","16.65221","2.682826","3.640291","6.262618","3.2392","4.741057","3.45331","20.55525","2.860153"
"P0DOX6_Oligomannose","93.27384","82.80134","96.74102","96.35971","93.73738","95.63801","94.87684","96.36804","79.39504","96.66572"
"P0DOX6_Complex","0.05549093","0.5464504","0.5761564",NA,NA,"1.122786","0.3821026","0.1786463","0.04971091","0.4741299"
"P02675_Complex","99.41101","99.65805","99.81954","99.39292","99.38663","99.54401","99.3735","99.51657","99.85718","99.4168"
"P02675_Hybrid","0.5889888","0.3419453","0.1804586","0.6070813","0.6133667","0.4559903","0.6264976","0.4834338","0.1428169","0.5831975"
"P00747_Complex","100","100","100","100","100","100","100","100","100","100"
"P26045_Complex","100","100",NA,"100",NA,NA,"26.50535",NA,"100","100"
"P26045_Hybrid",NA,NA,NA,NA,NA,NA,"73.49465","100",NA,NA
"P19652_Complex","100","100","100","100","100","100","100","100","100","100"
"P27169_Complex","100","100","100","100","100","100","100","95.7931","100","100"
"P27169_Hybrid",NA,NA,NA,NA,NA,NA,NA,"4.206898",NA,NA
"P01019_Complex","100","100","100","100","100","96.4255","100","100","100","100"
"P01019_Hybrid",NA,NA,NA,NA,NA,"3.5745",NA,NA,NA,NA
"O95445_Complex","100","91.77631","92.99888","100","100","100","93.70401","86.85645","100","100"
"O95445_Hybrid",NA,"8.223694","7.001117",NA,NA,NA,"6.295986","13.14355",NA,NA
"P02765_Complex","99.0632","99.28891","99.1699","99.33564","99.31985","99.17898","99.76367","99.13943","99.67223","99.60981"
"P02765_Hybrid","0.9368044","0.7110883","0.8300976","0.6643563","0.5558034","0.8210183","0.2363278","0.5085177","0.3277728","0.3901853"
"P02765_Oligomannose",NA,NA,NA,NA,"0.1243513",NA,NA,"0.3520479",NA,NA
"P02787_Complex","99.10894","99.10926","99.00672","98.85701","99.13587","98.37816","97.88579","99.03502","99.00352","99.08941"
"P02787_Hybrid","0.8910605","0.8907449","0.9932837","1.142986","0.8641318","1.62184","2.114209","0.9649807","0.9964819","0.9105868"
"Q9UM54_Complex","100",NA,"100","100",NA,NA,"100","100",NA,NA
"Q14624_Complex","100","100","100","100","100","98.90467","100","100","100","100"
"Q14624_Oligomannose",NA,NA,NA,NA,NA,"1.095335",NA,NA,NA,NA
"Q9NZP8_Complex","100","100","100","100","100","100","100","100","100","100"
"P04196_Complex","100","99.12062","99.32178","99.04433","98.7078","99.01548","98.37319","98.58819","100","97.54937"
"P04196_Hybrid",NA,"0.87938","0.6782213","0.9556711","1.292198","0.9845166","1.62681","1.411812",NA,"2.450627"
"P02760_Complex","100","100","100","100","100","100","100","100","100","100"
"P49238_Complex","98.69872","100","97.73503","99.26849","99.00735","98.33649","99.62757","100","100","98.96178"
"P49238_Oligomannose","0.4910816",NA,"1.396434",NA,"0.3715039","1.050393",NA,NA,NA,"1.038217"
"P49238_Hybrid","0.8101965",NA,"0.8685344","0.7315121","0.6211509","0.613119","0.3724318",NA,NA,NA
"P04003_Complex","100","100","100","100","100","95.90088","100","100","100","100"
"P04003_Hybrid",NA,NA,NA,NA,NA,"4.099117",NA,NA,NA,NA
"O42043_Complex","100","100","80.47603","70.55626",NA,NA,"100",NA,"100",NA
"O42043_Oligomannose",NA,NA,"19.52397","29.44374",NA,NA,NA,NA,NA,"100"
"P27918_Complex","100","100","100","100","100","100","100","100","100","100"
"Q92496_Complex","100",NA,"100",NA,NA,NA,NA,NA,NA,NA
"P04217_Complex","100","100","100","100","100","100","97.73212","100","100","100"
"P04217_Hybrid",NA,NA,NA,NA,NA,NA,"2.267883",NA,NA,NA
"P04180_Complex","100","100","100",NA,"100",NA,"100","100","100","100"
"P04180_Oligomannose",NA,NA,NA,NA,NA,"55.81493",NA,NA,NA,NA
"P04180_Hybrid",NA,NA,NA,NA,NA,"44.18507",NA,NA,NA,NA
"P00751_Complex","100","100","100","100","100","100","100","100","100","100"
"P02671_Hybrid","100",NA,NA,NA,NA,"100",NA,"25.97728","36.89157",NA
"P02671_Oligomannose",NA,"38.95617",NA,NA,NA,NA,NA,"55.97723",NA,NA
"P02671_Complex",NA,"61.04383",NA,NA,NA,NA,"100","18.0455","63.10843","100"
"P02745_Complex","100","100","100","100","100","100","100","100","100","100"
"P01023_Complex","31.04577","26.51952","37.20518","26.82142","47.49521","34.27669","34.7094","41.07627","18.96505","23.10645"
"P01023_Hybrid","27.55361","19.4916","30.1755","18.78307","25.35665","21.56015","28.94235","17.15115","22.89606","21.09842"
"P01023_Oligomannose","41.40062","53.98889","32.61931","54.39551","27.14814","44.16316","36.34826","41.77258","58.13889","55.79513"
"P35542_Complex","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02679_Complex","100","100","100","100","100","100","100","100","100","100"
"P19827_Complex","100",NA,"100",NA,"100","100","100","100","100",NA
"P01009_Complex","100",NA,"100","100",NA,"100","100","100","100","100"
"P08697_Complex","100",NA,"78.99284",NA,NA,NA,NA,NA,NA,"100"
"P08697_Hybrid",NA,NA,"21.00716",NA,NA,NA,NA,NA,NA,NA
"P21439_Complex","100",NA,NA,NA,NA,NA,"100",NA,NA,NA
"P04275_Complex",NA,"100","100",NA,"22.92422",NA,"100",NA,"100","33.15331"
"P04275_Hybrid",NA,NA,NA,NA,"77.07578",NA,NA,NA,NA,NA
"P04275_Oligomannose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.84669"
"P02774_Complex",NA,"100",NA,"100","100",NA,"100","100","100","100"
"Q9HCH5_Complex",NA,"100","100",NA,NA,NA,"100",NA,NA,NA
"P08519_Complex",NA,"100","100",NA,"100",NA,NA,"100","100",NA
"P05186_Hybrid",NA,"100",NA,"100",NA,NA,NA,NA,"88.28604",NA
"P05186_Complex",NA,NA,NA,NA,NA,NA,NA,NA,"11.71396",NA
"O14791_Complex",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA
"Q08380_Complex",NA,NA,"100",NA,"100","88.86495","47.82074","100",NA,NA
"Q08380_Hybrid",NA,NA,NA,NA,NA,"11.13505",NA,NA,NA,NA
"Q08380_Oligomannose",NA,NA,NA,NA,NA,NA,"52.17926",NA,NA,NA
"P07357_Complex",NA,NA,"100","100","100","100","100","100","100","100"
"P04070_Complex",NA,NA,"100","100","100","100","100","100",NA,"100"
"Q96KN2_Complex",NA,NA,"100","100","100","100","100","100","100","100"
"O60271_Complex",NA,NA,"100",NA,NA,NA,NA,NA,NA,NA
"Q9UGM5_Complex",NA,NA,"100","100",NA,"100",NA,NA,NA,NA
"P02748_Complex",NA,NA,"100",NA,NA,"100",NA,"100",NA,NA
"Q96PD5_Complex",NA,NA,NA,"100","100",NA,"100",NA,NA,NA
"O00192_Complex",NA,NA,NA,NA,NA,"100",NA,NA,NA,NA
"Q12816_Complex",NA,NA,NA,NA,NA,NA,"100","100",NA,"100"
"Q13797_Complex",NA,NA,NA,NA,NA,NA,"100","100",NA,NA
"Q9HDC9_Complex",NA,NA,NA,NA,NA,NA,NA,"100",NA,"100"
"P11279_Complex",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA
"P00742_Complex",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100"
