"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P02765_TRUE","7.398226","5.772138","4.299123","7.069038","6.169925","10.79712","10.07955","7.634766","7.216942","6.724684"
"P02787_FALSE","90.01888","92.78659","94.31883","93.05617","91.02837","88.28264","91.82507","94.82513","91.62227","90.49945"
"P02787_TRUE","9.981125","7.213414","5.681172","6.943831","8.971634","11.71736","8.17493","5.174866","8.377728","9.500546"
"Q9UM54_FALSE","100",NA,"100","100",NA,NA,"100","100",NA,NA
"Q14624_TRUE","33.31348","100","3.35076",NA,NA,"17.21738","4.549259",NA,"100","4.704625"
"Q14624_FALSE","66.68652",NA,"96.64924","100","100","82.78262","95.45074","100",NA,"95.29538"
"Q9NZP8_FALSE","100","100","100","100","100","100","100","100","100","100"
"P04196_FALSE","100","100","100","100","100","95.82318","100","100","100","100"
"P04196_TRUE",NA,NA,NA,NA,NA,"4.176816",NA,NA,NA,NA
"P02760_TRUE","7.90845","65.77429","1.465435","22.02675","27.15864","27.42927","4.593025",NA,"74.19379","12.25379"
"P02760_FALSE","92.09155","34.22571","98.53456","77.97325","72.84136","72.57073","95.40697","100","25.80621","87.74621"
"P49238_TRUE","90.59347","87.44356","76.15803","86.11197","87.39929","87.11292","82.51776","84.65546","89.52958","82.16985"
"P49238_FALSE","9.406527","12.55644","23.84197","13.88803","12.60071","12.88708","17.48224","15.34454","10.47042","17.83015"
"P04003_FALSE","100","100","100","100","100","100","100","100","100","100"
"O42043_TRUE","100","100","57.84435","22.02857",NA,NA,NA,NA,NA,NA
"O42043_FALSE",NA,NA,"42.15565","77.97143",NA,NA,"100",NA,"100","100"
"P27918_TRUE","100","100","96.2732","100","95.13795","93.43411","100","100","100","100"
"P27918_FALSE",NA,NA,"3.726799",NA,"4.862051","6.565891",NA,NA,NA,NA
"Q92496_FALSE","100",NA,"100",NA,NA,NA,NA,NA,NA,NA
"P04217_FALSE","100","100","100","100","100","91.43114","98.50249","100","100","97.18126"
"P04217_TRUE",NA,NA,NA,NA,NA,"8.568864","1.497511",NA,NA,"2.81874"
"P04180_FALSE","100","100","100",NA,"100","100","100","84.08522","100","100"
"P04180_TRUE",NA,NA,NA,NA,NA,NA,NA,"15.91478",NA,NA
"P00751_FALSE","100","100","100","100","100","100","100","100","100","100"
"P02671_FALSE","100","100",NA,NA,NA,"100",NA,"100","100","33.20848"
"P02671_TRUE",NA,NA,NA,NA,NA,NA,"100",NA,NA,"66.79152"
"P02745_TRUE","100","100","100","100","100","93.03672","93.60284","96.33156","100","89.46223"
"P02745_FALSE",NA,NA,NA,NA,NA,"6.963279","6.397159","3.668444",NA,"10.53777"
"P01023_FALSE","97.33338","99.67205","95.77262","96.82704","100","95.44527","97.35288","92.93745","98.85375","98.11357"
"P01023_TRUE","2.666623","0.3279518","4.227383","3.172961",NA,"4.554727","2.647118","7.062548","1.146248","1.886426"
"P35542_FALSE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02679_FALSE","100","100","100","100","100","100","98.31464","100","100","100"
"P02679_TRUE",NA,NA,NA,NA,NA,NA,"1.685356",NA,NA,NA
"P19827_FALSE","100",NA,"100",NA,"100","100","100","100",NA,NA
"P19827_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA
"P01009_FALSE","100",NA,"100","100",NA,"91.61033","95.76909","92.13327","100","96.30566"
"P01009_TRUE",NA,NA,NA,NA,NA,"8.389669","4.230909","7.866728",NA,"3.69434"
"P08697_FALSE","100",NA,"100",NA,NA,NA,NA,NA,NA,"100"
"P21439_TRUE","100",NA,NA,NA,NA,NA,"100",NA,NA,NA
"P04275_FALSE",NA,"100","100",NA,"77.07578",NA,"70.50178",NA,"8.02048","95.83007"
"P04275_TRUE",NA,NA,NA,NA,"22.92422",NA,"29.49822",NA,"91.97952","4.169927"
"P02774_FALSE",NA,"100",NA,"100","100",NA,"100","100","100","100"
"Q9HCH5_TRUE",NA,"100",NA,NA,NA,NA,"100",NA,NA,NA
"Q9HCH5_FALSE",NA,NA,"100",NA,NA,NA,NA,NA,NA,NA
"P08519_FALSE",NA,"100","100",NA,"100",NA,NA,"100","100",NA
"P05186_FALSE",NA,"100",NA,"100",NA,NA,NA,NA,"100",NA
"O14791_TRUE",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA
"Q08380_TRUE",NA,NA,"100",NA,"100","57.36121","32.41344","28.58583",NA,NA
"Q08380_FALSE",NA,NA,NA,NA,NA,"42.63879","67.58656","71.41417",NA,NA
"P07357_FALSE",NA,NA,"100","100","100","100","100","100","100","100"
"P04070_FALSE",NA,NA,"100","100","100","100","100","100",NA,"100"
"Q96KN2_FALSE",NA,NA,"100","23.86708","100","100","100","100","100","100"
"Q96KN2_TRUE",NA,NA,NA,"76.13292",NA,NA,NA,NA,NA,NA
"O60271_TRUE",NA,NA,"100",NA,NA,NA,NA,NA,NA,NA
"Q9UGM5_FALSE",NA,NA,"100","100",NA,"100",NA,NA,NA,NA
"P02748_FALSE",NA,NA,"100",NA,NA,"100",NA,"100",NA,NA
"Q96PD5_FALSE",NA,NA,NA,"100","85.96507",NA,"100",NA,NA,NA
"Q96PD5_TRUE",NA,NA,NA,NA,"14.03493",NA,NA,NA,NA,NA
"O00192_FALSE",NA,NA,NA,NA,NA,"100",NA,NA,NA,NA
"Q12816_TRUE",NA,NA,NA,NA,NA,NA,"100","100",NA,"100"
"Q13797_FALSE",NA,NA,NA,NA,NA,NA,"100","100",NA,NA
"Q9HDC9_FALSE",NA,NA,NA,NA,NA,NA,NA,"100",NA,"100"
"P11279_FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA
"P00742_FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100"
