"Protein Groups Protein Group ID"	"Checked"	"Tags"	"# Proteins"	"# Unique Peptides"	"# Peptides"	"# PSMs"	"Group Description"	"Found in File: [F1]"	"Found in File: [F2]"	"Found in File: [F3]"	"Found in File: [F4]"	"Found in File: [F5]"	"Found in File: [F6]"	"Found in File: [F7]"	"Found in File: [F8]"	"Found in File: [F9]"	"Found in File: [F10]"	"Found in Sample: [S1] F1: Sample, Healthy, HC13, 1"	"Found in Sample: [S2] F2: Sample, Healthy, HC14, 2"	"Found in Sample: [S3] F3: Sample, Healthy, HC20, 3"	"Found in Sample: [S4] F4: Sample, Healthy, HC22, 4"	"Found in Sample: [S5] F5: Sample, Healthy, HC25, 5"	"Found in Sample: [S6] F6: Sample, MECFS, M1, 1"	"Found in Sample: [S7] F7: Sample, MECFS, M10, 2"	"Found in Sample: [S8] F8: Sample, MECFS, M11, 3"	"Found in Sample: [S9] F9: Sample, MECFS, M12, 4"	"Found in Sample: [S10] F10: Sample, MECFS, M15, 5"	"Found in Sample Group: Healthy"	"Found in Sample Group: MECFS"
"11"	"False"	""	"1"	"4"	"4"	"24"	"[Master Protein] Coagulation factor XI OS=Homo sapiens OX=9606 GN=F11 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"12"	"False"	""	"1"	"16"	"16"	"969"	"[Master Protein] Alpha-1-acid glycoprotein 1 OS=Homo sapiens OX=9606 GN=ORM1 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"13"	"False"	""	"1"	"1"	"1"	"49"	"[Master Protein] Carboxypeptidase N subunit 2 OS=Homo sapiens OX=9606 GN=CPN2 PE=1 SV=3"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"High"
"14"	"False"	""	"1"	"9"	"9"	"175"	"[Master Protein] Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"15"	"False"	""	"1"	"4"	"4"	"69"	"[Master Protein] Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"16"	"False"	""	"1"	"4"	"4"	"10"	"[Master Protein] Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"
"17"	"False"	""	"1"	"1"	"1"	"4"	"[Master Protein] Immunoglobulin heavy variable 3-30 OS=Homo sapiens OX=9606 GN=IGHV3-30 PE=1 SV=2"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"
"18"	"False"	""	"1"	"6"	"6"	"82"	"[Master Protein] Complement component C6 OS=Homo sapiens OX=9606 GN=C6 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"19"	"False"	""	"1"	"6"	"6"	"43"	"[Master Protein] Complement component C8 beta chain OS=Homo sapiens OX=9606 GN=C8B PE=1 SV=4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"20"	"False"	""	"1"	"7"	"7"	"87"	"[Master Protein] Serum paraoxonase/arylesterase 1 OS=Homo sapiens OX=9606 GN=PON1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"21"	"False"	""	"1"	"10"	"10"	"942"	"[Master Protein] Immunoglobulin mu heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"22"	"False"	""	"1"	"17"	"17"	"1462"	"[Master Protein] Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"23"	"False"	""	"1"	"6"	"6"	"35"	"[Master Protein] Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"24"	"False"	""	"1"	"1"	"1"	"7"	"[Master Protein] Lymphatic vessel endothelial hyaluronic acid receptor 1 OS=Homo sapiens OX=9606 GN=LYVE1 PE=1 SV=2"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"
"25"	"False"	""	"1"	"1"	"1"	"14"	"[Master Protein] Natural cytotoxicity triggering receptor 3 ligand 1 OS=Homo sapiens OX=9606 GN=NCR3LG1 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"
"26"	"False"	""	"1"	"7"	"7"	"80"	"[Master Protein] Phospholipid transfer protein OS=Homo sapiens OX=9606 GN=PLTP PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"27"	"False"	""	"1"	"15"	"15"	"263"	"[Master Protein] Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"28"	"False"	""	"1"	"121"	"121"	"8693"	"[Master Protein] Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"29"	"False"	""	"1"	"19"	"19"	"183"	"[Master Protein] C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"30"	"False"	""	"1"	"18"	"18"	"303"	"[Master Protein] Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"31"	"False"	""	"1"	"26"	"26"	"2478"	"[Master Protein] Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"32"	"False"	""	"1"	"2"	"2"	"2"	"[Master Protein] Coagulation factor X OS=Homo sapiens OX=9606 GN=F10 PE=1 SV=2"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"
"33"	"False"	""	"1"	"3"	"3"	"39"	"[Master Protein] Complement factor H-related protein 3 OS=Homo sapiens OX=9606 GN=CFHR3 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"
"34"	"False"	""	"2"	"3"	"3"	"16"	"[Master Protein] Immunoglobulin lambda variable 3-21 OS=Homo sapiens OX=9606 GN=IGLV3-21 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"
"35"	"False"	""	"1"	"2"	"2"	"9"	"[Master Protein] Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens OX=9606 GN=ALPL PE=1 SV=4"	"Peak Found"	"High"	"Not Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"
"36"	"False"	""	"1"	"2"	"2"	"6"	"[Master Protein] Immunoglobulin lambda variable 2-11 OS=Homo sapiens OX=9606 GN=IGLV2-11 PE=1 SV=2"	"High"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"
"37"	"False"	""	"1"	"2"	"2"	"5"	"[Master Protein] Vitamin K-dependent protein S OS=Homo sapiens OX=9606 GN=PROS1 PE=1 SV=1"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"
"38"	"False"	""	"1"	"5"	"5"	"84"	"[Master Protein] Insulin-like growth factor-binding protein 3 OS=Homo sapiens OX=9606 GN=IGFBP3 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"39"	"False"	""	"4"	"1"	"1"	"1"	"[Master Protein] Immunoglobulin heavy variable 3-48 OS=Homo sapiens OX=9606 GN=IGHV3-48 PE=1 SV=2"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"High"
"40"	"False"	""	"1"	"2"	"2"	"3"	"[Master Protein] Immunoglobulin lambda variable 5-39 OS=Homo sapiens OX=9606 GN=IGLV5-39 PE=3 SV=1"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"High"	"High"
"41"	"False"	""	"1"	"1"	"1"	"2"	"[Master Protein] Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"
"42"	"False"	""	"1"	"3"	"3"	"144"	"[Master Protein] Mast/stem cell growth factor receptor Kit OS=Homo sapiens OX=9606 GN=KIT PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"43"	"False"	""	"1"	"4"	"4"	"65"	"[Master Protein] Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"44"	"False"	""	"1"	"14"	"14"	"481"	"[Master Protein] Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"45"	"False"	""	"1"	"1"	"1"	"1"	"[Master Protein] Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=3 SV=1"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Peak Found"	"High"
"46"	"False"	""	"1"	"3"	"3"	"18"	"[Master Protein] Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1"	"High"	"High"	"Not Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"
"47"	"False"	""	"1"	"1"	"1"	"9"	"[Master Protein] Adenylate cyclase type 1 OS=Homo sapiens OX=9606 GN=ADCY1 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"Not Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"Not Found"	"High"	"Peak Found"	"High"	"High"
"48"	"False"	""	"1"	"1"	"1"	"1"	"[Master Protein] Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=2 SV=2"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"High"
"49"	"False"	""	"1"	"1"	"1"	"2"	"[Master Protein] Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"
"50"	"False"	""	"1"	"7"	"7"	"88"	"[Master Protein] Hepatocyte growth factor-like protein OS=Homo sapiens OX=9606 GN=MST1 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"51"	"False"	""	"1"	"37"	"37"	"2155"	"[Master Protein] Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"52"	"False"	""	"1"	"9"	"9"	"58"	"[Master Protein] Phosphatidylinositol-glycan-specific phospholipase D OS=Homo sapiens OX=9606 GN=GPLD1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"53"	"False"	""	"1"	"8"	"8"	"104"	"[Master Protein] Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"54"	"False"	""	"2"	"1"	"1"	"2"	"[Master Protein] Immunoglobulin heavy variable 1-2 OS=Homo sapiens OX=9606 GN=IGHV1-2 PE=1 SV=2"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Not Found"	"Not Found"	"Peak Found"	"High"
"55"	"False"	""	"1"	"84"	"84"	"1369"	"[Master Protein] Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"56"	"False"	""	"1"	"4"	"4"	"19"	"[Master Protein] Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"
"57"	"False"	""	"1"	"2"	"2"	"82"	"[Master Protein] Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"58"	"False"	""	"1"	"4"	"4"	"67"	"[Master Protein] Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"59"	"False"	""	"1"	"10"	"10"	"260"	"[Master Protein] C4b-binding protein beta chain OS=Homo sapiens OX=9606 GN=C4BPB PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"60"	"False"	""	"2"	"1"	"1"	"2"	"[Master Protein] Immunoglobulin lambda variable 1-44 OS=Homo sapiens OX=9606 GN=IGLV1-44 PE=1 SV=2"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"
"61"	"False"	""	"1"	"73"	"73"	"1804"	"[Master Protein] Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"62"	"False"	""	"1"	"8"	"8"	"46"	"[Master Protein] Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"63"	"False"	""	"1"	"30"	"30"	"222"	"[Master Protein] Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"64"	"False"	""	"1"	"13"	"13"	"532"	"[Master Protein] Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"65"	"False"	""	"1"	"5"	"5"	"54"	"[Master Protein] Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"66"	"False"	""	"1"	"5"	"5"	"118"	"[Master Protein] Thyroxine-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA7 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"67"	"False"	""	"1"	"1"	"1"	"1"	"[Master Protein] C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens OX=9606 GN=SPAG9 PE=1 SV=4"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"
"68"	"False"	""	"1"	"16"	"16"	"701"	"[Master Protein] Immunoglobulin alpha-2 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
