"Pathway Protein Groups Group ID"	"Checked"	"Tags"	"Pathway Accession"	"Pathway Level"	"Pathway Description"	"Pathway Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"21"	"False"	""	"WP176"	"LeafAnnotation"	"Folate metabolism"	"WikiPathway"	"12"	"12"	"41"	"29"
"22"	"False"	""	"WP1995"	"LeafAnnotation"	"Effects of nitric oxide"	"WikiPathway"	"1"	"1"	"4"	"25"
"23"	"False"	""	"R-HSA-2168880"	"LeafAnnotation"	"Scavenging of heme from plasma"	"ReactomePathway"	"25"	"30"	"70"	"43"
"24"	"False"	""	"R-HSA-9707564"	"IntermediateAnnotation"	"Cytoprotection by HMOX1"	"ReactomePathway"	"3"	"3"	"12"	"25"
"25"	"False"	""	"R-HSA-9707616"	"IntermediateAnnotation"	"Heme signaling"	"ReactomePathway"	"4"	"4"	"12"	"33"
"26"	"False"	""	"R-HSA-1237044"	"LeafAnnotation"	"Erythrocytes take up carbon dioxide and release oxygen"	"ReactomePathway"	"2"	"2"	"8"	"25"
"27"	"False"	""	"R-HSA-1247673"	"LeafAnnotation"	"Erythrocytes take up oxygen and release carbon dioxide"	"ReactomePathway"	"2"	"2"	"7"	"29"
"28"	"False"	""	"WP4936"	"LeafAnnotation"	"Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins"	"WikiPathway"	"2"	"2"	"12"	"17"
"29"	"False"	""	"WP5205"	"LeafAnnotation"	"Clock-controlled autophagy in bone metabolism"	"WikiPathway"	"1"	"1"	"27"	"4"
"30"	"False"	""	"R-HSA-6798695"	"LeafAnnotation"	"Neutrophil degranulation"	"ReactomePathway"	"16"	"16"	"314"	"5"
"31"	"False"	""	"R-HSA-114608"	"LeafAnnotation"	"Platelet degranulation"	"ReactomePathway"	"31"	"31"	"86"	"36"
"32"	"False"	""	"R-HSA-9613829"	"LeafAnnotation"	"Chaperone Mediated Autophagy"	"ReactomePathway"	"2"	"2"	"16"	"12"
"33"	"False"	""	"R-HSA-6803157"	"IntermediateAnnotation"	"Antimicrobial peptides"	"ReactomePathway"	"2"	"2"	"11"	"18"
"34"	"False"	""	"WP2806"	"LeafAnnotation"	"Complement system"	"WikiPathway"	"30"	"30"	"85"	"35"
"35"	"False"	""	"WP3896"	"LeafAnnotation"	"Dengue-2 interactions with complement and coagulation cascades"	"WikiPathway"	"33"	"34"	"59"	"58"
"36"	"False"	""	"WP5090"	"LeafAnnotation"	"Complement system in neuronal development and plasticity"	"WikiPathway"	"24"	"25"	"88"	"28"
"37"	"False"	""	"WP545"	"LeafAnnotation"	"Complement activation"	"WikiPathway"	"14"	"15"	"19"	"79"
"38"	"False"	""	"WP558"	"LeafAnnotation"	"Complement and coagulation cascades"	"WikiPathway"	"32"	"33"	"58"	"57"
"39"	"False"	""	"R-HSA-3000480"	"LeafAnnotation"	"Scavenging by Class A Receptors"	"ReactomePathway"	"4"	"4"	"11"	"36"
"40"	"False"	""	"R-HSA-9705671"	"IntermediateAnnotation"	"SARS-CoV-2 activates/modulates innate and adaptive immune responses"	"ReactomePathway"	"1"	"1"	"46"	"2"
"41"	"False"	""	"R-HSA-166662"	"IntermediateAnnotation"	"Lectin pathway of complement activation"	"ReactomePathway"	"1"	"1"	"7"	"14"
"42"	"False"	""	"R-HSA-2855086"	"LeafAnnotation"	"Ficolins bind to repetitive carbohydrate structures on the target cell surface"	"ReactomePathway"	"1"	"1"	"4"	"25"
"43"	"False"	""	"WP5115"	"LeafAnnotation"	"Network map of SARS-CoV-2 signaling"	"WikiPathway"	"15"	"15"	"55"	"27"
"44"	"False"	""	"WP272"	"LeafAnnotation"	"Blood clotting cascade"	"WikiPathway"	"13"	"13"	"21"	"62"
"45"	"False"	""	"R-HSA-140837"	"LeafAnnotation"	"Intrinsic Pathway of Fibrin Clot Formation"	"ReactomePathway"	"13"	"13"	"22"	"59"
"46"	"False"	""	"R-HSA-9673221"	"LeafAnnotation"	"Defective F9 activation"	"ReactomePathway"	"1"	"1"	"6"	"17"
"47"	"False"	""	"WP2877"	"LeafAnnotation"	"Vitamin D receptor pathway"	"WikiPathway"	"5"	"5"	"73"	"7"
"48"	"False"	""	"WP2328"	"LeafAnnotation"	"Allograft rejection"	"WikiPathway"	"10"	"11"	"63"	"17"
"49"	"False"	""	"WP2431"	"LeafAnnotation"	"Spinal cord injury"	"WikiPathway"	"1"	"1"	"71"	"1"
"50"	"False"	""	"WP3941"	"LeafAnnotation"	"Oxidative damage response"	"WikiPathway"	"4"	"5"	"20"	"25"
"51"	"False"	""	"WP4493"	"LeafAnnotation"	"Cells and molecules involved in local acute inflammatory response"	"WikiPathway"	"5"	"5"	"16"	"31"
"52"	"False"	""	"WP5104"	"LeafAnnotation"	"Acquired partial lipodystrophy / Barraquer-Simons syndrome"	"WikiPathway"	"3"	"3"	"6"	"50"
"53"	"False"	""	"WP5148"	"LeafAnnotation"	"Complement-mediated inflammation of pulmonary alveolus in COVID-19 (hypothetical pathway)"	"WikiPathway"	"6"	"6"	"10"	"60"
"54"	"False"	""	"R-HSA-375276"	"IntermediateAnnotation"	"Peptide ligand-binding receptors"	"ReactomePathway"	"5"	"5"	"77"	"6"
"55"	"False"	""	"R-HSA-418594"	"IntermediateAnnotation"	"G alpha (i) signalling events"	"ReactomePathway"	"6"	"6"	"216"	"3"
"56"	"False"	""	"R-HSA-174577"	"LeafAnnotation"	"Activation of C3 and C5"	"ReactomePathway"	"6"	"7"	"7"	"100"
"57"	"False"	""	"R-HSA-166665"	"LeafAnnotation"	"Terminal pathway of complement"	"ReactomePathway"	"7"	"7"	"8"	"88"
"58"	"False"	""	"WP3584"	"LeafAnnotation"	"MECP2 and associated Rett syndrome"	"WikiPathway"	"1"	"1"	"27"	"4"
"59"	"False"	""	"WP430"	"LeafAnnotation"	"Statin inhibition of cholesterol production"	"WikiPathway"	"10"	"10"	"23"	"43"
"60"	"False"	""	"WP5108"	"LeafAnnotation"	"Familial  hyperlipidemia type 1"	"WikiPathway"	"6"	"6"	"16"	"38"
"61"	"False"	""	"WP5111"	"LeafAnnotation"	"Familial hyperlipidemia type 4"	"WikiPathway"	"6"	"6"	"16"	"38"
"62"	"False"	""	"WP5112"	"LeafAnnotation"	"Familial hyperlipidemia type 5"	"WikiPathway"	"6"	"6"	"13"	"46"
"63"	"False"	""	"WP5304"	"LeafAnnotation"	"Cholesterol metabolism"	"WikiPathway"	"12"	"12"	"47"	"26"
"64"	"False"	""	"R-HSA-9029569"	"LeafAnnotation"	"NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux"	"ReactomePathway"	"4"	"4"	"14"	"29"
"65"	"False"	""	"R-HSA-975634"	"LeafAnnotation"	"Retinoid metabolism and transport"	"ReactomePathway"	"11"	"11"	"31"	"35"
"66"	"False"	""	"R-HSA-8963889"	"LeafAnnotation"	"Assembly of active LPL and LIPC lipase complexes"	"ReactomePathway"	"2"	"2"	"14"	"14"
"67"	"False"	""	"R-HSA-8963888"	"LeafAnnotation"	"Chylomicron assembly"	"ReactomePathway"	"7"	"7"	"9"	"78"
"68"	"False"	""	"R-HSA-8963901"	"LeafAnnotation"	"Chylomicron remodeling"	"ReactomePathway"	"7"	"7"	"10"	"70"
"69"	"False"	""	"R-HSA-8964058"	"LeafAnnotation"	"HDL remodeling"	"ReactomePathway"	"6"	"6"	"9"	"67"
"70"	"False"	""	"R-HSA-198933"	"LeafAnnotation"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"ReactomePathway"	"17"	"22"	"184"	"12"
"71"	"False"	""	"R-HSA-202733"	"IntermediateAnnotation"	"Cell surface interactions at the vascular wall"	"ReactomePathway"	"22"	"27"	"140"	"19"
"72"	"False"	""	"R-HSA-2454202"	"IntermediateAnnotation"	"Fc epsilon receptor (FCERI) signaling"	"ReactomePathway"	"14"	"19"	"62"	"31"
"73"	"False"	""	"R-HSA-2730905"	"LeafAnnotation"	"Role of LAT2/NTAL/LAB on calcium mobilization"	"ReactomePathway"	"14"	"19"	"71"	"27"
"74"	"False"	""	"R-HSA-2871796"	"LeafAnnotation"	"FCERI mediated MAPK activation"	"ReactomePathway"	"14"	"19"	"80"	"24"
"75"	"False"	""	"R-HSA-2871809"	"LeafAnnotation"	"FCERI mediated Ca+2 mobilization"	"ReactomePathway"	"14"	"19"	"81"	"23"
"76"	"False"	""	"R-HSA-2871837"	"LeafAnnotation"	"FCERI mediated NF-kB activation"	"ReactomePathway"	"14"	"19"	"80"	"24"
"77"	"False"	""	"R-HSA-5690714"	"LeafAnnotation"	"CD22 mediated BCR regulation"	"ReactomePathway"	"15"	"20"	"62"	"32"
"78"	"False"	""	"R-HSA-9679191"	"LeafAnnotation"	"Potential therapeutics for SARS"	"ReactomePathway"	"15"	"20"	"118"	"17"
"79"	"False"	""	"R-HSA-983695"	"LeafAnnotation"	"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"ReactomePathway"	"15"	"20"	"84"	"24"
"80"	"False"	""	"WP136"	"LeafAnnotation"	"Phase I biotransformations, non-P450"	"WikiPathway"	"1"	"1"	"3"	"33"
"81"	"False"	""	"WP4673"	"LeafAnnotation"	"Male infertility"	"WikiPathway"	"3"	"3"	"43"	"7"
"82"	"False"	""	"R-HSA-9754706"	"IntermediateAnnotation"	"Atorvastatin ADME"	"ReactomePathway"	"1"	"1"	"6"	"17"
"83"	"False"	""	"R-HSA-2142688"	"LeafAnnotation"	"Synthesis of 5-eicosatetraenoic acids"	"ReactomePathway"	"1"	"1"	"3"	"33"
"84"	"False"	""	"R-HSA-75205"	"LeafAnnotation"	"Dissolution of Fibrin Clot"	"ReactomePathway"	"3"	"3"	"11"	"27"
"85"	"False"	""	"R-HSA-2160916"	"LeafAnnotation"	"Hyaluronan uptake and degradation"	"ReactomePathway"	"1"	"1"	"10"	"10"
"86"	"False"	""	"WP5092"	"LeafAnnotation"	"Interactions of natural killer cells in pancreatic cancer"	"WikiPathway"	"1"	"1"	"10"	"10"
"87"	"False"	""	"WP2878"	"LeafAnnotation"	"PPAR-alpha pathway"	"WikiPathway"	"4"	"4"	"10"	"40"
"88"	"False"	""	"WP2882"	"LeafAnnotation"	"Nuclear receptors meta-pathway"	"WikiPathway"	"6"	"6"	"158"	"4"
"89"	"False"	""	"WP3942"	"LeafAnnotation"	"PPAR signaling"	"WikiPathway"	"5"	"5"	"32"	"16"
"90"	"False"	""	"WP5109"	"LeafAnnotation"	"Familial hyperlipidemia type 2"	"WikiPathway"	"6"	"6"	"14"	"43"
"91"	"False"	""	"WP5110"	"LeafAnnotation"	"Familial hyperlipidemia type 3"	"WikiPathway"	"6"	"6"	"13"	"46"
"92"	"False"	""	"WP3888"	"LeafAnnotation"	"VEGFA-VEGFR2 signaling"	"WikiPathway"	"7"	"7"	"213"	"3"
"93"	"False"	""	"R-HSA-9749641"	"IntermediateAnnotation"	"Aspirin ADME"	"ReactomePathway"	"2"	"2"	"12"	"17"
"94"	"False"	""	"R-HSA-9793528"	"IntermediateAnnotation"	"Ciprofloxacin ADME"	"ReactomePathway"	"1"	"1"	"5"	"20"
"95"	"False"	""	"R-HSA-159418"	"LeafAnnotation"	"Recycling of bile acids and salts"	"ReactomePathway"	"1"	"1"	"13"	"8"
"96"	"False"	""	"R-HSA-9757110"	"IntermediateAnnotation"	"Prednisone ADME"	"ReactomePathway"	"2"	"2"	"3"	"67"
"97"	"False"	""	"R-HSA-189483"	"LeafAnnotation"	"Heme degradation"	"ReactomePathway"	"1"	"1"	"9"	"11"
"98"	"False"	""	"R-HSA-189451"	"LeafAnnotation"	"Heme biosynthesis"	"ReactomePathway"	"1"	"1"	"3"	"33"
"99"	"False"	""	"WP2572"	"LeafAnnotation"	"Primary focal segmental glomerulosclerosis (FSGS)"	"WikiPathway"	"1"	"1"	"56"	"2"
"100"	"False"	""	"WP306"	"LeafAnnotation"	"Focal adhesion"	"WikiPathway"	"4"	"4"	"138"	"3"
"101"	"False"	""	"WP3932"	"LeafAnnotation"	"Focal adhesion: PI3K-Akt-mTOR-signaling"	"WikiPathway"	"5"	"5"	"170"	"3"
"102"	"False"	""	"WP4172"	"LeafAnnotation"	"PI3K-Akt signaling"	"WikiPathway"	"5"	"5"	"178"	"3"
"103"	"False"	""	"WP4239"	"LeafAnnotation"	"Epithelial to mesenchymal transition in colorectal cancer"	"WikiPathway"	"3"	"3"	"104"	"3"
"104"	"False"	""	"WP453"	"LeafAnnotation"	"Inflammatory response pathway"	"WikiPathway"	"3"	"3"	"24"	"12"
"105"	"False"	""	"R-HSA-216083"	"LeafAnnotation"	"Integrin cell surface interactions"	"ReactomePathway"	"8"	"8"	"57"	"14"
"106"	"False"	""	"R-HSA-3000178"	"LeafAnnotation"	"ECM proteoglycans"	"ReactomePathway"	"4"	"4"	"36"	"11"
"107"	"False"	""	"R-HSA-3000170"	"LeafAnnotation"	"Syndecan interactions"	"ReactomePathway"	"2"	"2"	"20"	"10"
"108"	"False"	""	"R-HSA-2129379"	"LeafAnnotation"	"Molecules associated with elastic fibres"	"ReactomePathway"	"3"	"3"	"17"	"18"
"109"	"False"	""	"R-HSA-140875"	"LeafAnnotation"	"Common Pathway of Fibrin Clot Formation"	"ReactomePathway"	"11"	"11"	"19"	"58"
"110"	"False"	""	"R-HSA-159740"	"LeafAnnotation"	"Gamma-carboxylation of protein precursors"	"ReactomePathway"	"4"	"4"	"8"	"50"
"111"	"False"	""	"R-HSA-159763"	"LeafAnnotation"	"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	"ReactomePathway"	"4"	"4"	"8"	"50"
"112"	"False"	""	"R-HSA-159782"	"LeafAnnotation"	"Removal of aminoterminal propeptides from gamma-carboxylated proteins"	"ReactomePathway"	"4"	"4"	"9"	"44"
"113"	"False"	""	"R-HSA-9672383"	"LeafAnnotation"	"Defective factor IX causes thrombophilia"	"ReactomePathway"	"1"	"1"	"3"	"33"
"114"	"False"	""	"R-HSA-9672396"	"LeafAnnotation"	"Defective cofactor function of FVIIIa variant"	"ReactomePathway"	"1"	"1"	"3"	"33"
"115"	"False"	""	"R-HSA-9673202"	"LeafAnnotation"	"Defective F9 variant does not activate FX"	"ReactomePathway"	"1"	"1"	"3"	"33"
"116"	"False"	""	"R-HSA-140834"	"LeafAnnotation"	"Extrinsic Pathway of Fibrin Clot Formation"	"ReactomePathway"	"1"	"1"	"5"	"20"
"117"	"False"	""	"WP2324"	"LeafAnnotation"	"AGE/RAGE pathway"	"WikiPathway"	"1"	"1"	"43"	"2"
"118"	"False"	""	"WP2380"	"LeafAnnotation"	"Brain-derived neurotrophic factor (BDNF) signaling"	"WikiPathway"	"1"	"1"	"95"	"1"
"119"	"False"	""	"WP2813"	"LeafAnnotation"	"Mammary gland development pathway - Embryonic development (Stage 1 of 4)"	"WikiPathway"	"1"	"1"	"13"	"8"
"120"	"False"	""	"WP3413"	"LeafAnnotation"	"NOTCH1 regulation of endothelial cell calcification"	"WikiPathway"	"1"	"1"	"12"	"8"
"121"	"False"	""	"WP3971"	"LeafAnnotation"	"OSX and miRNAs in tooth development"	"WikiPathway"	"1"	"1"	"7"	"14"
"122"	"False"	""	"WP4228"	"LeafAnnotation"	"Vitamin B6-dependent and responsive disorders"	"WikiPathway"	"1"	"1"	"2"	"50"
"123"	"False"	""	"WP474"	"LeafAnnotation"	"Endochondral ossification"	"WikiPathway"	"1"	"1"	"26"	"4"
"124"	"False"	""	"WP4747"	"LeafAnnotation"	"Netrin-UNC5B signaling"	"WikiPathway"	"1"	"1"	"36"	"3"
"125"	"False"	""	"WP4790"	"LeafAnnotation"	"FGF23 signaling in hypophosphatemic rickets and related disorders"	"WikiPathway"	"1"	"1"	"13"	"8"
"126"	"False"	""	"WP4808"	"LeafAnnotation"	"Endochondral ossification with skeletal dysplasias"	"WikiPathway"	"1"	"1"	"26"	"4"
"127"	"False"	""	"R-HSA-163125"	"IntermediateAnnotation"	"Post-translational modification: synthesis of GPI-anchored proteins"	"ReactomePathway"	"2"	"2"	"66"	"3"
"128"	"False"	""	"WP289"	"LeafAnnotation"	"Myometrial relaxation and contraction pathways"	"WikiPathway"	"2"	"2"	"107"	"2"
"129"	"False"	""	"WP3614"	"LeafAnnotation"	"Photodynamic therapy-induced HIF-1 survival signaling"	"WikiPathway"	"1"	"1"	"11"	"9"
"130"	"False"	""	"WP4949"	"LeafAnnotation"	"16p11.2 proximal deletion syndrome"	"WikiPathway"	"1"	"1"	"23"	"4"
"131"	"False"	""	"R-HSA-6803211"	"LeafAnnotation"	"TP53 Regulates Transcription of Death Receptors and Ligands"	"ReactomePathway"	"1"	"1"	"8"	"12"
"132"	"False"	""	"WP2004"	"LeafAnnotation"	"miR-targeted genes in lymphocytes"	"WikiPathway"	"1"	"1"	"149"	"1"
"133"	"False"	""	"WP2005"	"LeafAnnotation"	"miR-targeted genes in muscle cell"	"WikiPathway"	"1"	"1"	"131"	"1"
"134"	"False"	""	"WP2406"	"LeafAnnotation"	"Cardiac progenitor differentiation"	"WikiPathway"	"1"	"1"	"21"	"5"
"135"	"False"	""	"WP2848"	"LeafAnnotation"	"Pluripotent stem cell differentiation pathway"	"WikiPathway"	"2"	"2"	"30"	"7"
"136"	"False"	""	"WP304"	"LeafAnnotation"	"Kit receptor signaling"	"WikiPathway"	"1"	"1"	"34"	"3"
"137"	"False"	""	"WP3640"	"LeafAnnotation"	"Imatinib and chronic myeloid leukemia"	"WikiPathway"	"1"	"1"	"11"	"9"
"138"	"False"	""	"WP4223"	"LeafAnnotation"	"Ras signaling"	"WikiPathway"	"1"	"1"	"136"	"1"
"139"	"False"	""	"WP4262"	"LeafAnnotation"	"Breast cancer pathway"	"WikiPathway"	"1"	"1"	"79"	"1"
"140"	"False"	""	"WP4331"	"LeafAnnotation"	"Neovascularization processes"	"WikiPathway"	"1"	"1"	"21"	"5"
"141"	"False"	""	"WP4540"	"LeafAnnotation"	"Hippo signaling regulation"	"WikiPathway"	"2"	"2"	"81"	"2"
"142"	"False"	""	"WP4541"	"LeafAnnotation"	"Hippo-Merlin signaling dysregulation"	"WikiPathway"	"2"	"2"	"70"	"3"
"143"	"False"	""	"WP4659"	"LeafAnnotation"	"Gastrin signaling"	"WikiPathway"	"1"	"1"	"69"	"1"
"144"	"False"	""	"WP4685"	"LeafAnnotation"	"Melanoma"	"WikiPathway"	"1"	"1"	"38"	"3"
"145"	"False"	""	"WP5087"	"LeafAnnotation"	"Pleural mesothelioma"	"WikiPathway"	"2"	"2"	"202"	"1"
"146"	"False"	""	"WP5236"	"LeafAnnotation"	"Markers of kidney cell lineage"	"WikiPathway"	"1"	"1"	"22"	"5"
"147"	"False"	""	"WP5293"	"LeafAnnotation"	"Acute myeloid leukemia"	"WikiPathway"	"2"	"2"	"37"	"5"
"148"	"False"	""	"WP5316"	"LeafAnnotation"	"Primary ovarian insufficiency"	"WikiPathway"	"1"	"1"	"51"	"2"
"149"	"False"	""	"WP5475"	"LeafAnnotation"	"Hallmark of cancer: sustaining proliferative signaling"	"WikiPathway"	"1"	"1"	"60"	"2"
"150"	"False"	""	"R-HSA-1257604"	"IntermediateAnnotation"	"PIP3 activates AKT signaling"	"ReactomePathway"	"1"	"1"	"63"	"2"
"151"	"False"	""	"R-HSA-2219530"	"LeafAnnotation"	"Constitutive Signaling by Aberrant PI3K in Cancer"	"ReactomePathway"	"1"	"1"	"50"	"2"
"152"	"False"	""	"R-HSA-6811558"	"LeafAnnotation"	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"	"ReactomePathway"	"1"	"1"	"69"	"1"
"153"	"False"	""	"R-HSA-5673001"	"IntermediateAnnotation"	"RAF/MAP kinase cascade"	"ReactomePathway"	"1"	"1"	"90"	"1"
"154"	"False"	""	"R-HSA-1433557"	"IntermediateAnnotation"	"Signaling by SCF-KIT"	"ReactomePathway"	"1"	"1"	"26"	"4"
"155"	"False"	""	"R-HSA-9670439"	"LeafAnnotation"	"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"	"ReactomePathway"	"1"	"1"	"14"	"7"
"156"	"False"	""	"R-HSA-1433559"	"LeafAnnotation"	"Regulation of KIT signaling"	"ReactomePathway"	"1"	"1"	"11"	"9"
"157"	"False"	""	"R-HSA-9856649"	"IntermediateAnnotation"	"Transcriptional and post-translational regulation of MITF-M expression and activity"	"ReactomePathway"	"1"	"1"	"16"	"6"
"158"	"False"	""	"R-HSA-8866910"	"LeafAnnotation"	"TFAP2 (AP-2) family regulates transcription of growth factors and their receptors"	"ReactomePathway"	"1"	"1"	"5"	"20"
"159"	"False"	""	"R-HSA-9669914"	"LeafAnnotation"	"Dasatinib-resistant KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"160"	"False"	""	"R-HSA-9669917"	"LeafAnnotation"	"Imatinib-resistant KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"161"	"False"	""	"R-HSA-9669921"	"LeafAnnotation"	"KIT mutants bind TKIs"	"ReactomePathway"	"1"	"1"	"1"	"100"
"162"	"False"	""	"R-HSA-9669924"	"LeafAnnotation"	"Masitinib-resistant KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"163"	"False"	""	"R-HSA-9669926"	"LeafAnnotation"	"Nilotinib-resistant KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"164"	"False"	""	"R-HSA-9669929"	"LeafAnnotation"	"Regorafenib-resistant KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"165"	"False"	""	"R-HSA-9669933"	"LeafAnnotation"	"Signaling by kinase domain mutants of KIT"	"ReactomePathway"	"1"	"1"	"1"	"100"
"166"	"False"	""	"R-HSA-9669934"	"LeafAnnotation"	"Sunitinib-resistant KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"167"	"False"	""	"R-HSA-9669935"	"LeafAnnotation"	"Signaling by juxtamembrane domain KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"168"	"False"	""	"R-HSA-9669936"	"LeafAnnotation"	"Sorafenib-resistant KIT mutants"	"ReactomePathway"	"1"	"1"	"1"	"100"
"169"	"False"	""	"R-HSA-9680187"	"LeafAnnotation"	"Signaling by extracellular domain mutants of KIT"	"ReactomePathway"	"1"	"1"	"1"	"100"
"170"	"False"	""	"WP2636"	"LeafAnnotation"	"Common pathways underlying drug addiction"	"WikiPathway"	"1"	"1"	"33"	"3"
"171"	"False"	""	"WP35"	"LeafAnnotation"	"G protein signaling"	"WikiPathway"	"1"	"1"	"73"	"1"
"172"	"False"	""	"WP3676"	"LeafAnnotation"	"BDNF-TrkB signaling"	"WikiPathway"	"1"	"1"	"24"	"4"
"173"	"False"	""	"WP3869"	"LeafAnnotation"	"Cannabinoid receptor signaling"	"WikiPathway"	"1"	"1"	"14"	"7"
"174"	"False"	""	"WP3929"	"LeafAnnotation"	"Chemokine signaling"	"WikiPathway"	"2"	"2"	"120"	"2"
"175"	"False"	""	"WP4222"	"LeafAnnotation"	"Phosphodiesterases in neuronal function"	"WikiPathway"	"1"	"1"	"31"	"3"
"176"	"False"	""	"WP4321"	"LeafAnnotation"	"Thermogenesis"	"WikiPathway"	"1"	"1"	"56"	"2"
"177"	"False"	""	"WP4535"	"LeafAnnotation"	"Envelope proteins and their potential roles in EDMD physiopathology"	"WikiPathway"	"1"	"1"	"28"	"4"
"178"	"False"	""	"WP5083"	"LeafAnnotation"	"Neuroinflammation and glutamatergic signaling"	"WikiPathway"	"1"	"1"	"98"	"1"
"179"	"False"	""	"WP5093"	"LeafAnnotation"	"Opioid receptor pathways"	"WikiPathway"	"1"	"1"	"29"	"3"
"180"	"False"	""	"WP536"	"LeafAnnotation"	"Calcium regulation in cardiac cells"	"WikiPathway"	"1"	"1"	"129"	"1"
"181"	"False"	""	"R-HSA-418597"	"LeafAnnotation"	"G alpha (z) signalling events"	"ReactomePathway"	"1"	"1"	"44"	"2"
"182"	"False"	""	"R-HSA-170670"	"LeafAnnotation"	"Adenylate cyclase inhibitory pathway"	"ReactomePathway"	"1"	"1"	"14"	"7"
"183"	"False"	""	"R-HSA-418555"	"IntermediateAnnotation"	"G alpha (s) signalling events"	"ReactomePathway"	"1"	"1"	"105"	"1"
"184"	"False"	""	"R-HSA-9634597"	"IntermediateAnnotation"	"GPER1 signaling"	"ReactomePathway"	"2"	"2"	"40"	"5"
